Payment.Method,Railcard,Ticket.Class,Ticket.Type,Price,Departure.Station,Arrival.Station,Departure,Scheduled.Arrival,Actual.Arrival,Journey.Status,Reason.for.Delay,Refund.Request,Row_ID,MediumPrice
Credit Card,Adult,Standard,Advance,23,London Kings Cross,York,2024-01-01 09:45:00,2024-01-01 11:35:00,2024-01-01 11:40,Delayed,Signal Failure,0,2,1
Credit Card,None,Standard,Advance,37,London Euston,York,2024-01-01 00:00:00,2024-01-01 01:50:00,2024-01-01 02:07,Delayed,Signal Failure,0,9,0
Debit Card,Adult,Standard,Advance,7,Birmingham New Street,Manchester Piccadilly,2024-01-01 11:15:00,2024-01-01 12:35:00,2024-01-01 13:06,Delayed,Technical Issue,1,21,0
Credit Card,Senior,First Class,Advance,34,Oxford,Bristol Temple Meads,2024-01-01 14:15:00,2024-01-01 15:30:00,2024-01-01 15:54,Delayed,Signal Failure,1,27,0
Credit Card,None,Standard,Advance,7,London Euston,Birmingham New Street,2024-01-02 02:15:00,2024-01-02 03:35:00,,Cancelled,Technical Issue,0,40,0
Credit Card,None,First Class,Advance,134,Manchester Piccadilly,London Euston,2024-01-02 03:30:00,2024-01-02 05:20:00,2024-01-02 05:31,Delayed,Weather,0,46,0
Credit Card,None,Standard,Anytime,151,Liverpool Lime Street,London Euston,2024-01-01 08:00:00,2024-01-01 10:15:00,2024-01-01 10:39,Delayed,Weather,0,52,0
Credit Card,None,First Class,Advance,134,Manchester Piccadilly,London Euston,2024-01-02 08:00:00,2024-01-02 09:50:00,2024-01-02 10:08,Delayed,Weather,0,62,0
Debit Card,Disabled,First Class,Advance,35,London Euston,Birmingham New Street,2024-01-02 16:00:00,2024-01-02 17:20:00,,Cancelled,Technical Issue,0,76,0
Credit Card,None,Standard,Off-Peak,10,London Euston,Birmingham New Street,2024-01-02 02:15:00,2024-01-02 03:35:00,,Cancelled,Technical Issue,1,92,0
Credit Card,None,First Class,Off-Peak,200,Manchester Piccadilly,London Euston,2024-01-02 03:30:00,2024-01-02 05:20:00,2024-01-02 05:31,Delayed,Weather,0,102,0
Credit Card,None,Standard,Off-Peak,12,London St Pancras,Birmingham New Street,2024-01-02 05:00:00,2024-01-02 06:20:00,,Cancelled,Staff-Related,1,112,1
Contactless,Adult,Standard,Anytime,47,London Kings Cross,York,2024-01-02 06:15:00,2024-01-02 08:05:00,2024-01-02 08:35,Delayed,Technical Issue,0,120,0
Debit Card,None,Standard,Anytime,70,London Kings Cross,York,2024-01-02 06:15:00,2024-01-02 08:05:00,2024-01-02 08:35,Delayed,Technical Issue,0,125,0
Credit Card,None,Standard,Advance,84,Manchester Piccadilly,London Euston,2024-01-03 03:30:00,2024-01-03 05:20:00,2024-01-03 05:38,Delayed,Weather,0,131,0
Credit Card,None,First Class,Anytime,235,Liverpool Lime Street,London Euston,2024-01-02 08:00:00,2024-01-02 10:15:00,,Cancelled,Staff-Related,0,149,0
Credit Card,None,Standard,Anytime,151,Liverpool Lime Street,London Euston,2024-01-02 08:00:00,2024-01-02 10:15:00,,Cancelled,Staff-Related,0,150,0
Credit Card,None,Standard,Anytime,151,Liverpool Lime Street,London Euston,2024-01-02 08:00:00,2024-01-02 10:15:00,,Cancelled,Staff-Related,0,152,0
Credit Card,None,Standard,Anytime,151,Liverpool Lime Street,London Euston,2024-01-02 08:00:00,2024-01-02 10:15:00,,Cancelled,Staff-Related,0,154,0
Credit Card,None,Standard,Anytime,16,London St Pancras,Birmingham New Street,2024-01-02 08:00:00,2024-01-02 09:20:00,,Cancelled,Signal Failure,0,155,1
Credit Card,None,Standard,Anytime,151,Liverpool Lime Street,London Euston,2024-01-02 08:00:00,2024-01-02 10:15:00,,Cancelled,Staff-Related,0,157,0
Contactless,Adult,Standard,Off-Peak,12,Manchester Piccadilly,Nottingham,2024-01-02 09:00:00,2024-01-02 10:00:00,2024-01-02 10:59,Delayed,Signal Failure,0,172,1
Contactless,Adult,Standard,Off-Peak,10,Manchester Piccadilly,Leeds,2024-01-02 09:00:00,2024-01-02 09:45:00,2024-01-02 12:39,Delayed,Signal Failure,0,173,0
Credit Card,Senior,Standard,Advance,2,Manchester Piccadilly,Liverpool Lime Street,2024-01-03 06:15:00,2024-01-03 06:45:00,,Cancelled,Signal Failure,1,179,0
Contactless,Adult,Standard,Off-Peak,35,London Kings Cross,York,2024-01-02 09:45:00,2024-01-02 11:35:00,,Cancelled,Staff-Related,0,187,0
Contactless,Adult,Standard,Off-Peak,35,London Kings Cross,York,2024-01-02 09:45:00,2024-01-02 11:35:00,,Cancelled,Staff-Related,1,192,0
Credit Card,None,Standard,Advance,76,Liverpool Lime Street,London Euston,2024-01-03 08:00:00,2024-01-03 10:15:00,2024-01-03 11:09,Delayed,Weather,0,203,0
Credit Card,None,Standard,Advance,76,Liverpool Lime Street,London Euston,2024-01-03 08:00:00,2024-01-03 10:15:00,2024-01-03 11:09,Delayed,Weather,0,204,0
Credit Card,None,Standard,Advance,76,Liverpool Lime Street,London Euston,2024-01-03 08:00:00,2024-01-03 10:15:00,2024-01-03 11:09,Delayed,Weather,0,205,0
Credit Card,Disabled,Standard,Advance,4,London Euston,Birmingham New Street,2024-01-03 08:15:00,2024-01-03 09:35:00,,Cancelled,Signal Failure,0,210,0
Contactless,Adult,Standard,Advance,6,Manchester Piccadilly,Leeds,2024-01-03 09:00:00,2024-01-03 09:45:00,2024-01-03 10:22,Delayed,Signal Failure,0,213,0
Debit Card,Adult,Standard,Off-Peak,3,Liverpool Lime Street,Manchester Piccadilly,2024-01-02 11:15:00,2024-01-02 11:45:00,2024-01-02 12:17,Delayed,Technical Issue,1,218,0
Credit Card,None,Standard,Off-Peak,19,Reading,London Paddington,2024-01-02 13:30:00,2024-01-02 13:55:00,,Cancelled,Staff-Related,1,225,1
Contactless,None,Standard,Advance,3,Manchester Piccadilly,Liverpool Lime Street,2024-01-03 11:00:00,2024-01-03 11:30:00,2024-01-03 14:24,Delayed,Staff-Related,0,228,0
Credit Card,Disabled,Standard,Advance,8,London Paddington,Reading,2024-01-03 12:45:00,2024-01-03 13:45:00,,Cancelled,Technical Issue,0,243,0
Contactless,None,Standard,Anytime,13,London Euston,Birmingham New Street,2024-01-02 16:00:00,2024-01-02 17:20:00,,Cancelled,Technical Issue,1,247,1
Credit Card,Adult,Standard,Anytime,9,London Euston,Birmingham New Street,2024-01-02 16:00:00,2024-01-02 17:20:00,,Cancelled,Technical Issue,0,248,0
Debit Card,Disabled,Standard,Anytime,9,London Euston,Birmingham New Street,2024-01-02 16:00:00,2024-01-02 17:20:00,,Cancelled,Technical Issue,0,251,0
Debit Card,Disabled,Standard,Anytime,9,London Euston,Birmingham New Street,2024-01-02 16:00:00,2024-01-02 17:20:00,,Cancelled,Technical Issue,0,252,0
Debit Card,None,Standard,Advance,76,Liverpool Lime Street,London Euston,2024-01-03 15:30:00,2024-01-03 17:45:00,2024-01-03 18:14,Delayed,Staff-Related,1,266,0
Credit Card,Disabled,Standard,Advance,4,London Euston,Birmingham New Street,2024-01-03 15:30:00,2024-01-03 16:50:00,,Cancelled,Weather,0,273,0
Credit Card,Disabled,Standard,Advance,4,London Euston,Birmingham New Street,2024-01-03 15:30:00,2024-01-03 16:50:00,,Cancelled,Weather,1,276,0
Debit Card,Adult,Standard,Advance,50,Liverpool Lime Street,London Euston,2024-01-03 17:30:00,2024-01-03 19:45:00,2024-01-03 20:10,Delayed,Technical Issue,1,299,0
Credit Card,Senior,Standard,Advance,2,Manchester Piccadilly,Liverpool Lime Street,2024-01-03 18:45:00,2024-01-03 19:15:00,,Cancelled,Staff-Related,0,315,0
Credit Card,Adult,Standard,Advance,4,London Euston,Birmingham New Street,2024-01-03 17:45:00,2024-01-03 19:05:00,,Cancelled,Technical Issue,0,317,0
Credit Card,None,Standard,Off-Peak,10,London Euston,Birmingham New Street,2024-01-02 21:30:00,2024-01-02 22:50:00,,Cancelled,Staff-Related,1,323,0
Contactless,None,Standard,Advance,3,Manchester Piccadilly,Liverpool Lime Street,2024-01-03 18:45:00,2024-01-03 19:15:00,,Cancelled,Staff-Related,0,325,0
Contactless,None,Standard,Advance,3,Manchester Piccadilly,Liverpool Lime Street,2024-01-03 18:45:00,2024-01-03 19:15:00,,Cancelled,Staff-Related,0,328,0
Contactless,None,Standard,Advance,3,Manchester Piccadilly,Liverpool Lime Street,2024-01-03 18:45:00,2024-01-03 19:15:00,,Cancelled,Staff-Related,0,331,0
Credit Card,Adult,First Class,Advance,39,Birmingham New Street,London St Pancras,2024-01-03 00:15:00,2024-01-03 01:35:00,,Cancelled,Staff-Related,1,353,0
Credit Card,None,Standard,Off-Peak,11,York,Durham,2024-01-03 03:30:00,2024-01-03 04:20:00,2024-01-03 04:32,Delayed,Weather,0,381,1
Contactless,Adult,Standard,Off-Peak,7,London Euston,Birmingham New Street,2024-01-03 04:15:00,2024-01-03 05:35:00,,Cancelled,Weather,0,384,0
Contactless,Adult,Standard,Off-Peak,7,London Euston,Birmingham New Street,2024-01-03 04:15:00,2024-01-03 05:35:00,,Cancelled,Weather,1,385,0
Contactless,None,Standard,Advance,8,York,Durham,2024-01-04 01:45:00,2024-01-04 02:35:00,,Cancelled,Signal Failure,1,388,0
